x_he,heat,power,work,efficiency
1.0, 14882.219124448035, 6952.805492896753, 334.2781860878996, 46.71887596033918
0.95, 15139.545214793523, 6958.351488130294, 324.90892013803875, 45.961430078698655
0.9, 15376.89463622006, 6962.111430463481, 315.6619925242058, 45.276446221230685
0.85, 15591.76861802872, 6966.027802350299, 306.5030226965177, 44.67759862916064
0.8, 15781.589161052578, 6971.489109100759, 297.3920792834376, 44.17482319401467
0.75, 15944.558255674421, 6979.216122882179, 288.33755844469533, 43.77177473950013
0.7, 16078.941141148194, 6989.824213832178, 279.31266863200864, 43.47191865728191
0.6499999999999999, 16183.850577748553, 7003.599363453685, 270.30953607424607, 43.275234962210114
0.6, 16258.038218633512, 7020.748830508096, 261.32076170674446, 43.18324717961076
0.55, 16300.822696884394, 7041.327338450053, 252.3424065969612, 43.1961470251184
0.5, 16311.31717992893, 7065.342398526829, 243.37178719746544, 43.31558463727706
0.44999999999999996, 16288.921172445496, 7092.7088403641, 234.4075102161594, 43.54314669016999
0.3999999999999999, 16233.356740984358, 7123.283053149559, 225.44971419993496, 43.88053048304794
0.35, 16144.09275442201, 7156.903341269322, 216.49872045862253, 44.331406230981806
0.29999999999999993, 16020.818203751242, 7193.374446452271, 207.5554007289466, 44.90016898617548
0.25, 15863.236607856332, 7232.487438267457, 198.6210452292547, 45.5927602736855
0.19999999999999996, 15671.349291467232, 7273.995453330906, 189.6975218749145, 46.41588492505534
0.1499999999999999, 15444.988475222734, 7317.663162669989, 180.7858474663725, 47.37888392995036
0.09999999999999998, 15184.147267456272, 7363.243494123087, 171.88755559324835, 48.49296680561381
0.04999999999999993, 14888.733145045124, 7410.503712538599, 163.003888903389, 49.77256050159491
0.0, 14559.168234980662, 7459.171556182274, 154.135636211747, 51.233500676642066
